file,chorus_location
Audios/raw/WGMa6qh-qFY_SOLO VOY - M R F.wav,00:17
Audios/raw/Z5gvqq3ChII_Дома не сиди.wav,02:52.4
Audios/raw/8OGw36lQn4w_Mazigh ...  Huz Huz A Yamina.wav,02:21.2
Audios/raw/TzhhbYS9EO4_Boubkeur ... Huz Huz  ( Audio Officiel ).wav,02:40
Audios/raw/RhBb77hG0iw_Nerga3 Tany - Hamoot Wa Arga3 _ Tamer Hosny - نرجع تاني - هموت و ارجع.wav,02:40.8
"Audios/raw/f8NapGGtMvo_TiiwTiiw - DAWDAW ft Cheb Nadir, Blanka & Sky (DJ La Meche).wav",01:18.5
Audios/raw/3ObVN3QQiZ8_Nancy Ajram - Oul Tani Keda (Official Music Video) _ نانسي عجرم - قول تاني كده.wav,03:25
Audios/raw/-_P_cD0yimw_JO1｜'Born To Be Wild' Official MV.wav,03:09.1
"Audios/raw/yKEAUgA8OvU_M. Pokora, Dadju - Si on disait (Clip officiel).wav",02:05.3
Audios/raw/ZpsV5SGa5R4_Lost Sky - Need You [NCS Release].wav,03:32.6
Audios/raw/qkE-siH6Ed4_Huz Kai - Ghost (Official Music Video).wav,01:56.5
Audios/raw/n4HTXYR-2AI_Sadhguru - D Neutrons Music _ Turban Trap.wav,02:11
Audios/raw/o683V8-TAPQ_Opozit - X-oyu-L (Official VIDEO).wav,02:18.6
Audios/raw/bAOkv1j2fAs_Syzz - Gimme Gimme Gimme (Club Mix).wav,02:26.7
Audios/raw/C5VCGM2J5ls_وائل جسار - بحبك مش هقول تاني _ Wael Jassar - Ba7ebek Mesh Ha2oul Tany.wav,03:24.3
Audios/raw/hjIhCG_nIPA_MC G15 - Cara Bacana (Lyric Video) Jorgin Deejhay.wav,02:12
Audios/raw/Mme9REVuidw_Zouhair Bahaoui - Hasta Luego ft TiiwTiiw & CHK #DreamTiiw2k17.wav,02:24.8
Audios/raw/C4IuLw86CJ8_Huz 'Hardest Thing' (Official Vid).wav,03:01.2
Audios/raw/EygNk739nnY_MC Arthur - XJ6 (Love Funk) DJ GH.wav,02:14.4
Audios/raw/Cd-ur7jyV30_(FREE) Old School x 90s x Joey Bada$$ Boom Bap Type Beat [2021] - Robin Hood.wav,02:45.2
Audios/raw/bd5m12UEHWI_Duo Anggrek - Goyang Nasi Padang (Official Music Video NAGASWARA) #goyangnasipdg.wav,02:50.9
Audios/raw/fadPaKn-xe8_Dime - Refill (VIDEOCLIP OFICIAL).wav,01:12.1
Audios/raw/2UL-1MOlSPw_Nativ - MVZ Vol. 2 - 07 Slick Rick (feat. Dawill).wav,01:31.9
Audios/raw/XJt-4KKCZBA_George X - Nahuati (PHCK Remix) [Sound Avenue].wav,02:09.2
Audios/raw/Tfypj4UwvvA_Going Deeper feat. Davis Mallory - Believe  _ #GANGSTERMUSIC.wav,02:14.3
Audios/raw/-b7X97M5tDo_Trixtor - Runaway (ft. Holly Drummond).wav,02:30.8
Audios/raw/vhWoHF9-qfY_Parry Gripp - Nice Big Monster Truck [Official 4K Video].wav,00:21.65
Audios/raw/dpjUrLEgYKI_Justin Sane & Huz - Days With You (Official Music Video).wav,02:34.1
Audios/raw/Ny6BAUMZxT4_Huz - Early Morning Rain.wav,02:42.4
Audios/raw/0QN9KLFWn7I_Kozah - Paradox [NCS Release].wav,02:18.5
Audios/raw/tnzybViYYHw_MC G15 - Cara Bacana (KondZilla).wav,02:38.3
Audios/raw/dl6vG66m1e8_Ilkay Sencan & Mert Hakan - Let Me.wav,02:40.1
Audios/raw/9bQY2komrnA_I Give You My Heart - Hillsong Worship & Delirious.wav,05:13.6
Audios/raw/bBcyBylIr40_Zedd & Aloe Blacc & Grey - Candyman.wav,01:52.1
Audios/raw/ms5Hfjd-2AI_Os Pontos Negros - Queda e Ascensão.wav,01:43.7
Audios/raw/QglaLzo_aPk_Julius Dreisig & Zeus X Crona - Invisible [NCS Release].wav,02:06.6
Audios/raw/2UL-FFrX0xQ_'그 여름에' 라이브 버스킹♬ 최솜 with 만렙뮤즈 MLMUSE.wav,01:48.9
Audios/raw/btMBUL8_liA_La foudre.wav,02:08.8
"Audios/raw/LKaXY4IdZ40_Whitney Houston, Mariah Carey - When You Believe (Official HD Video).wav",02:25.5
Audios/raw/BEo0rqOZIng_Huz Kai - On & On (Official Music Video).wav,01:32
Audios/raw/xJt-wTjGkN8_[M_V] 도시 of 레인보우 페이퍼 (Dosi of Rainbow paper) - 겨울향기 (Memories of winter) (Official Music Video).wav,02:38.7
Audios/raw/F_9pZv0wn9Q_[달의 연인 - 보보경심 려 OST Part 6] 에픽하이 (EPIK HIGH) - 내 마음이 들리나요 Can You Hear My Heart (Feat. 이하이 LEE HI).wav,03:01.5
Audios/raw/YOKq1VmEbtc_GQ-I do love you.wav,02:34
Audios/raw/D1QQ8UyBFoA_Gene Krupa - Ball of Fire.wav,02:10
Audios/raw/Et-YdmSo_3A_MC Magal e MC G15 - Menor Periferia (GR6 Filmes) DJ Guil Beats.wav,02:57.3
Audios/raw/xJt--P13x3s_04. Stiinte Oculte - Sa Cada Ploaia.wav,00:31.9
Audios/raw/3TyKyeS3P-Q_JYJ 'BACK SEAT' M_V.wav,01:37.4
Audios/raw/9wgaix00KCE_ป่ะล่ะ (PALA) - POKMINDSET [Official MV].wav,02:21.6
Audios/raw/nISI4qF55F4_T-Bone - Crazy Hispanic.wav,00:22.9
Audios/raw/KFucg1_medA_Downtown Party Network feat Eglė Sirvydytė - Space Me Out (Mario Basanov Remix).wav,05:03.8
Audios/raw/8MAWFIM-2aI_Enamorado.wav,02:39.9
Audios/raw/DwgdKSKGMLQ_HUZ - Panamera.wav,00:19.7
Audios/raw/C7u6rtswjCU_Odhani – Made In China _ Rajkummar Rao & Mouni Roy _  Neha Kakkar & Darshan Raval _ Sachin – Jigar.wav,01:32.1
Audios/raw/jII5qoCrzYE_MJ (써니사이드) - +2kg (feat. 효빈) [Lyric Video].wav,02:01.2
Audios/raw/ORurdsjkJMQ_Huz Kai - Crush (Visualizer).wav,02:21.2
Audios/raw/QtYDvqJgQqo_Coone ft. David Spekter - Faye (Official Lyric Video).wav,00:27.9
Audios/raw/lEHM9HZf0IA_Diamond Eyes - Flutter [NCS Release].wav,01:11.5
Audios/raw/t7-OcRIdUu8_Edgardo Donato - Se Va La Vida.wav,01:01.2
Audios/raw/ThtO-8h-qfY_Briango - Bachata de Amor  Lyrics.wav,01:24.5
Audios/raw/ngJ71Np-qFY_Orli - Internet Explorer (Prod. Amaro JNT).wav,00:31.9
Audios/raw/D9ffTk7-2aI_Base de Rap _ Boom Bap _ Agresivo _ Underground _ Freestyle Beat _ Hip Hop Instrumental.wav,00:35.9
Audios/raw/32MsxqBbe08_Merseil - Hi Marimba (Original).wav,00:12.7
Audios/raw/Gq5-cpb5f7E_Leoparte - Floodlands (2015).wav,01:12.7
Audios/raw/AoB8koE95C0_Quando Rondo - End Of Story (Official Audio).wav,01:20
Audios/raw/PYM9NUU9Roc_โอเคป่ะ (Yes or No) feat. นุช วิลาวัลย์ อาร์ สยาม  - Flame เฟลม _ Official MV.wav,02:51.1
Audios/raw/gwsaElRJI2M_Kayblack - A Cunhada (prod. Wall Hein e DJ RB).wav,00:54.3
Audios/raw/T4stQxboYKM_NASSIMA AIT AMI & YACINE YEFSAH - HUZ A YAMINA.wav,00:57.2
Audios/raw/BXTpedYsjyI_MC G15 e MC Bruninho - A Distância ta Maltratando (GR6 Filmes) DJ DG e Batidão Stronda.wav,01:04.8
Audios/raw/8t9RO40-D74_De Underjordiske - Trold.wav,02:50.3
Audios/raw/j9KKh215HTs_TiiwTiiw - Te amo feat Blanka & Sky (Selfie Algerian Cover).wav,02:38.4
Audios/raw/3e2aMWVWecU_Phil Smooth - FAKE LOVE (lyrics_lyrics video).wav,01:55.9
Audios/raw/tnOuMlDUgu8_Justin Sane & Huz - It's Not Over (Official Music Video).wav,00:51.7
"Audios/raw/GUC6UqXjU44_Kamel Igman ... Ayen A Thayr iw , Slam fella wen , Huz Huz.wav",02:14.1
Audios/raw/z7y6MykrE5s_MC G15 - Eu Falei Pra Elas (KondZilla).wav,02:04.5
Audios/raw/1wpJkzCWHcI_Nancy Ajram - Oul Hansak (Official Audio) _ نانسي عجرم - قول هنساك.wav,05:03.9
Audios/raw/p9LLoijPQfg_TREASURE - ‘MY TREASURE’ M_V.wav,01:57.5
Audios/raw/GQ5-L4J3CcI_Mame Diarra Bousso Gatié Ngalama . Lamp Diop Kara yeungeul.wav,01:56.4
Audios/raw/xGPeNN9S0Fg_One Direction - Little Things.wav,01:53.4
Audios/raw/gCsKlVY8_-Q_Pezet - Mamy ten styl.wav,02:46.5
Audios/raw/GQ5-gYPabd4_Stargazing.wav,01:06.3
Audios/raw/HwcCBnfhsR4_DAY6 'You make Me' M_V.wav,03:29.5
Audios/raw/xjt-NS8R2LA_Garcia - Anseio (Prod. Pacific).wav,01:13.7
Audios/raw/SZaZU_qi6Xc_Carole Samaha - Esma'ny (Official Music Video) _ كاروول سماحة - إسمعني - الكليب الرسمي.wav,02:16:8
Audios/raw/D6uH2mKJRUA_Huz - Curious (Original Mix).wav,01:14.8
Audios/raw/9arRsdRTTNI_Trance - Two hearts together.wav,03:53.8
Audios/raw/feVUoKhP1mE_Izuku - jamais vu (Clip Officiel).wav,00:24.6
Audios/raw/C90sY_Ht6Ig_Calvin Markus - Emma's Eyes ('Daredevil - Season 3 Date Announcement' Trailer Music).wav,01:43.3
Audios/raw/ht7xflC4APQ_LIL X - Think  ( prod.pluto ).wav,00:14.7
Audios/raw/zYoVEbs-xe8_Thrill Collins 'Black or White'.wav,01:00.5
Audios/raw/xe8-Y1oVQeU_A Revolta Social “BP” ⛔ 🇧🇷 (ARS PRODUÇÕES).wav,00:15.3
Audios/raw/xJt-xbN5S3E_Yani ft. Stian - WICKED VISION 2012.wav,00:34.3
Audios/raw/yPS0PGBsV8I_Radio Killer - Be Free [Official video HD].wav,02:12.8
Audios/raw/lYxcW8jtFw0_MC G15 - Deu Onda (KondZilla).wav,01:28.9
Audios/raw/0Za5671VM-0_Setec - Water Or Concrete.wav,01:39.4